x,y,z,label
0.231452,0.584857,0.787225,0
0.675222,0.177862,0.714286,2
0.838557,0.165197,0.887234,2
0.714255,0.456526,0.451674,1
0.623890,0.663228,0.290963,1
0.429579,0.670370,0.311777,0
0.795770,0.120518,0.311838,1
0.254067,0.339305,0.466445,0
0.080447,0.319987,0.653127,0
0.109500,0.040529,0.844417,0
0.649068,0.064455,0.396161,1
0.969573,0.137333,0.690207,2
0.202155,0.636708,0.476150,0
0.865932,0.460036,0.423872,1
0.683889,0.778954,0.379833,1
0.885250,0.045900,0.230018,1
0.089053,0.548723,0.746391,0
0.862453,0.570482,0.228278,1
0.556902,0.221168,0.109470,1
0.806604,0.113041,0.048555,1
0.032350,0.144993,0.809931,0
0.722282,0.017151,0.276315,1
0.848201,0.242317,0.757714,2
0.537522,0.461776,0.672994,0
0.262673,0.797632,0.858394,0
0.446333,0.570452,0.438002,0
0.904294,0.432997,0.161443,1
0.240608,0.084140,0.186926,0
0.848842,0.840693,0.768151,2
0.270333,0.428968,0.900296,0
0.316172,0.064699,0.873043,0
0.658773,0.051881,0.974670,2
0.340831,0.016175,0.636738,0
0.430372,0.797967,0.806635,0
0.875729,0.595447,0.518021,1
0.416761,0.486190,0.185553,1
0.250679,0.406751,0.860469,0
0.305368,0.337016,0.289010,0
0.354289,0.708609,0.553362,0
0.121769,0.131474,0.388623,0
0.964965,0.073000,0.096683,1
0.905271,0.570635,0.611560,2
0.947508,0.354045,0.019684,1
0.481368,0.876309,0.384564,0
0.182440,0.115146,0.954619,0
0.173528,0.855220,0.643849,0
0.729606,0.759575,0.381695,1
0.157872,0.065127,0.645253,0
0.471450,0.376812,0.758171,0
0.073122,0.996826,0.383343,0
0.961608,0.881954,0.049684,1
0.577899,0.945158,0.348735,1
0.039399,0.510453,0.225440,0
0.924223,0.112674,0.745354,2
0.596423,0.266213,0.677114,2
0.415509,0.091189,0.478805,0
0.309671,0.622669,0.407208,0
0.962523,0.830927,0.339122,1
0.825190,0.781945,0.826716,2
0.968169,0.153478,0.957579,2
0.398175,0.218390,0.729453,0
0.587390,0.421766,0.449416,1
0.008179,0.204993,0.099979,0
0.143803,0.770837,0.280068,0
0.084780,0.662862,0.482864,0
0.267953,0.954039,0.941343,0
