0.231452,0.584857,0.787225,0
0.177862,0.714286,0.838557,1
0.887234,0.714255,0.456526,2
0.623890,0.663228,0.290963,2
0.670370,0.311777,0.795770,4
0.311838,0.254067,0.339305,3
0.080447,0.319987,0.653127,4
0.040529,0.844417,0.649068,1
0.396161,0.969573,0.137333,2
0.202155,0.636708,0.476150,0
0.460036,0.423872,0.683889,0
0.379833,0.885250,0.045900,1
0.089053,0.548723,0.746391,0
0.570482,0.228278,0.556902,4
0.109470,0.806604,0.113041,1
0.032350,0.144993,0.809931,0
0.017151,0.276315,0.848201,4
0.757714,0.537522,0.461776,2
0.262673,0.797632,0.858394,1
0.570452,0.438002,0.904294,4
0.161443,0.240608,0.084140,3
0.848842,0.840693,0.768151,2
0.428968,0.900296,0.316172,1
0.873043,0.658773,0.051881,2
0.340831,0.016175,0.636738,4
0.797967,0.806635,0.875729,2
0.518021,0.416761,0.486190,4
0.250679,0.406751,0.860469,4
0.337016,0.289010,0.354289,3
0.553362,0.121769,0.131474,3
0.964965,0.073000,0.096683,3
0.570635,0.611560,0.947508,4
0.019684,0.481368,0.876309,1
0.182440,0.115146,0.954619,4
0.855220,0.643849,0.729606,0
0.381695,0.157872,0.065127,3
0.471450,0.376812,0.758171,4
0.996826,0.383343,0.961608,0
0.049684,0.577899,0.945158,1
0.039399,0.510453,0.225440,3
0.112674,0.745354,0.596423,1
0.677114,0.415509,0.091189,3
0.309671,0.622669,0.407208,0
0.830927,0.339122,0.825190,0
0.826716,0.968169,0.153478,2
0.398175,0.218390,0.729453,0
0.421766,0.449416,0.008179,3
0.099979,0.143803,0.770837,4
0.084780,0.662862,0.482864,1
0.954039,0.941343,0.834620,2
0.323008,0.278268,0.993957,0
0.372051,0.879482,0.603687,1
0.071017,0.308329,0.054109,3
0.882748,0.501206,0.062227,2
0.225898,0.503189,0.088839,3
0.479171,0.581164,0.624836,0
0.807428,0.869900,0.877743,2
0.591571,0.207495,0.890164,4
0.743217,0.316965,0.620838,0
0.685018,0.989074,0.020051,2
0.278848,0.424024,0.630268,4
0.481948,0.387280,0.743431,0
0.013123,0.336192,0.646352,1
0.809961,0.173376,0.985015,4
0.558123,0.783685,0.779260,0
0.074374,0.010163,0.119388,3
0.824335,0.226295,0.075289,3
0.355998,0.159398,0.849971,4
0.930906,0.123020,0.708304,0
0.133580,0.313425,0.712699,4
0.740776,0.326548,0.796167,0
0.631703,0.552507,0.205084,3
0.020753,0.602710,0.842006,1
0.793329,0.426771,0.540147,0
0.226814,0.275063,0.800897,4
0.877407,0.163152,0.025239,3
0.914151,0.994537,0.770959,2
0.681600,0.997620,0.065950,2
0.772301,0.633747,0.309976,2
0.389966,0.631916,0.795099,1
0.285379,0.306711,0.376751,3
0.045503,0.815882,0.326518,1
0.017304,0.513321,0.897488,1
0.647938,0.054323,0.634053,4
0.521775,0.408826,0.957091,4
0.876278,0.439100,0.055452,3
0.877499,0.198401,0.615833,4
0.436506,0.606128,0.421308,0
0.848384,0.656697,0.350566,2
0.034272,0.817438,0.808802,1
0.668722,0.772362,0.121128,2
0.972533,0.168096,0.920804,0
0.453261,0.517563,0.061861,3
0.374096,0.918485,0.089633,1
0.232368,0.742454,0.797967,1
0.029420,0.951048,0.906217,1
0.612323,0.194891,0.386731,3
0.869320,0.352519,0.473556,2
0.060183,0.664754,0.884304,1
0.062349,0.120884,0.286050,3
0.814356,0.253548,0.536760,4
0.737785,0.997436,0.733207,2
0.419263,0.769097,0.596759,1
0.333018,0.423688,0.228553,3
0.886044,0.244758,0.764763,4
0.566454,0.623615,0.963652,0
0.477126,0.584246,0.255470,3
0.034852,0.810480,0.286752,1
0.116916,0.330973,0.489395,1
0.436354,0.519028,0.707083,0
0.426679,0.562731,0.409040,1
0.417859,0.062410,0.523392,4
0.384594,0.911069,0.420454,1
0.047761,0.114261,0.078066,3
0.611194,0.705954,0.959593,0
0.913724,0.415754,0.636036,4
