0.231452,0.584857,0.787225,0.675222,0.177862,0
0.714286,0.838557,0.165197,0.887234,0.714255,1
0.456526,0.451674,0.623890,0.663228,0.290963,2
0.429579,0.670370,0.311777,0.795770,0.120518,3
0.311838,0.254067,0.339305,0.466445,0.080447,4
0.319987,0.653127,0.109500,0.040529,0.844417,1
0.649068,0.064455,0.396161,0.969573,0.137333,2
0.690207,0.202155,0.636708,0.476150,0.865932,2
0.460036,0.423872,0.683889,0.778954,0.379833,2
0.885250,0.045900,0.230018,0.089053,0.548723,4
0.746391,0.862453,0.570482,0.228278,0.556902,2
0.221168,0.109470,0.806604,0.113041,0.048555,4
0.032350,0.144993,0.809931,0.722282,0.017151,0
0.276315,0.848201,0.242317,0.757714,0.537522,3
0.461776,0.672994,0.262673,0.797632,0.858394,1
0.446333,0.570452,0.438002,0.904294,0.432997,2
0.161443,0.240608,0.084140,0.186926,0.848842,4
0.840693,0.768151,0.270333,0.428968,0.900296,1
0.316172,0.064699,0.873043,0.658773,0.051881,2
0.974670,0.340831,0.016175,0.636738,0.430372,1
0.797967,0.806635,0.875729,0.595447,0.518021,2
0.416761,0.486190,0.185553,0.250679,0.406751,4
0.860469,0.305368,0.337016,0.289010,0.354289,4
0.708609,0.553362,0.121769,0.131474,0.388623,4
0.964965,0.073000,0.096683,0.905271,0.570635,1
0.611560,0.947508,0.354045,0.019684,0.481368,2
0.876309,0.384564,0.182440,0.115146,0.954619,1
0.173528,0.855220,0.643849,0.729606,0.759575,0
0.381695,0.157872,0.065127,0.645253,0.471450,4
0.376812,0.758171,0.073122,0.996826,0.383343,3
0.961608,0.881954,0.049684,0.577899,0.945158,1
0.348735,0.039399,0.510453,0.225440,0.924223,2
0.112674,0.745354,0.596423,0.266213,0.677114,0
0.415509,0.091189,0.478805,0.309671,0.622669,4
0.407208,0.962523,0.830927,0.339122,0.825190,2
0.781945,0.826716,0.968169,0.153478,0.957579,2
0.398175,0.218390,0.729453,0.587390,0.421766,2
0.449416,0.008179,0.204993,0.099979,0.143803,4
0.770837,0.280068,0.084780,0.662862,0.482864,1
0.267953,0.954039,0.941343,0.834620,0.114078,0
0.323008,0.278268,0.993957,0.619861,0.372051,0
0.879482,0.603687,0.576037,0.071017,0.308329,2
0.054109,0.070101,0.882748,0.501206,0.062227,0
0.873470,0.225898,0.503189,0.088839,0.315073,4
0.479171,0.581164,0.624836,0.547899,0.807428,2
0.869900,0.877743,0.613697,0.591571,0.207495,2
0.890164,0.213324,0.743217,0.316965,0.620838,2
0.588275,0.685018,0.989074,0.020051,0.419446,2
0.278848,0.424024,0.630268,0.150304,0.481948,2
0.387280,0.743431,0.639760,0.013123,0.336192,2
0.646352,0.551317,0.809961,0.173376,0.985015,2
0.385144,0.558123,0.783685,0.779260,0.558550,2
0.074374,0.010163,0.119388,0.441908,0.824335,4
0.226295,0.075289,0.755699,0.355998,0.159398,4
0.849971,0.235176,0.930906,0.123020,0.708304,2
0.968902,0.133580,0.313425,0.712699,0.317209,2
0.740776,0.326548,0.796167,0.817286,0.631703,2
0.552507,0.205084,0.980529,0.020753,0.602710,2
0.842006,0.388867,0.793329,0.426771,0.540147,2
0.996307,0.226814,0.275063,0.800897,0.041353,3
0.877407,0.163152,0.025239,0.477676,0.914151,1
0.994537,0.770959,0.327860,0.681600,0.997620,1
0.065950,0.867977,0.772301,0.633747,0.309976,0
0.047731,0.389966,0.631916,0.795099,0.053957,0
0.285379,0.306711,0.376751,0.422285,0.045503,4
0.815882,0.326518,0.604266,0.017304,0.513321,2
0.897488,0.395672,0.647938,0.054323,0.634053,2
0.132420,0.521775,0.408826,0.957091,0.060488,3
0.876278,0.439100,0.055452,0.785455,0.877499,1
0.198401,0.615833,0.208808,0.436506,0.606128,2
0.421308,0.856777,0.848384,0.656697,0.350566,0
0.007721,0.034272,0.817438,0.808802,0.524888,2
0.668722,0.772362,0.121128,0.800317,0.972533,1
0.168096,0.920804,0.716392,0.453261,0.517563,0
0.061861,0.031251,0.374096,0.918485,0.089633,4
0.094272,0.232368,0.742454,0.797967,0.297769,0
0.029420,0.951048,0.906217,0.171361,0.612323,0
0.194891,0.386731,0.525285,0.869320,0.352519,2
0.473556,0.548448,0.060183,0.664754,0.884304,1
0.268227,0.062349,0.120884,0.286050,0.277566,4
0.814356,0.253548,0.536760,0.135899,0.737785,2
0.997436,0.733207,0.350414,0.419263,0.769097,1
0.596759,0.343181,0.333018,0.423688,0.228553,4
0.311472,0.886044,0.244758,0.764763,0.386303,3
0.566454,0.623615,0.963652,0.996460,0.477126,2
0.584246,0.255470,0.843623,0.034852,0.810480,2
0.286752,0.395337,0.116916,0.330973,0.489395,4
